sm,ft,ma,gt
c1ccc2c(c1)Cc1ccccc1N2,[ 15.101232 -10.008171   6.641614 ...   0.         0.         0.      ],[False False False False  True],[-0.00672802 -0.46760992 -0.93354551 -0.66768001 -0.27405765]
CCOP(=S)(OCC)SCC(=O)N(CCC#N)c1ccccc1,[-5.7995954 -2.8242307  0.9098547 ...  0.         0.         0.       ],[False False False False  True],[-0.29159169  0.78626587 -0.79359838 -0.61866393  0.81995565]
CC(=O)OCc1ccc(C(C)C)cc1,[14.26338    3.2441     1.8468499 ...  0.         0.         0.       ],[False False False False  True],[ 0.55589473 -0.65199409 -0.65691881 -0.88835048 -0.18758315]
CCOC1CC(C)C=CO1,"[ 17.445908   -1.3537941 -12.026682  ...   0.          0.
   0.       ]",[False False False False  True],[ 0.15314796  0.41187933 -0.94608304 -0.85764027 -0.41019956]
CCCC(=O)OC(=O)CCC,[ 32.142395 -12.493673  16.420597 ...   0.         0.         0.      ],[False False False False  True],[-0.16530541  0.79448078 -0.62002861  0.33152287 -0.57250554]
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCCN(C)C(=O)[C@@H]4C3)nc(-c3ccccc3)nc2c1C,[-8.729879   4.3499174 -5.879177  ...  0.         0.         0.       ],[ True False False False False],[ 0.44923218  0.49762095 -0.45667337 -0.44640516 -0.15731868]
CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(C[NH+](C)C)o1,[-5.014123   4.7751927 -0.3146916 ...  0.         0.         0.       ],[False False  True False False],[ 0.23318751 -0.36720827 -0.63884674 -0.60594985  0.05073053]
CCN(CC)C(=O)Cc1ccccc1,[31.084919  -4.755059  14.9384575 ...  0.         0.         0.       ],[False False False False  True],[ 0.47594466  0.17875874 -0.95645346  0.5822018  -0.08026608]
Cc1cccc(C)c1NC(=O)NCCCNC(C)C,"[-0.76067114 -1.2184343  -2.9280891  ...  0.          0.
  0.        ]",[False False False  True False],[-0.21689742  0.045431   -0.6832386  -0.58763317 -0.28373308]
CN(C)N=Nc1ccc(C(=O)[O-])cc1,[  3.426116 -36.277523  12.103758 ...   0.         0.         0.      ],[False False  True False False],[-0.12611566 -0.55746069 -0.92716237 -0.88307274  0.74115289]
CC(C(=O)O)c1ccc2c(c1)N(CCCN1CCCN(c3cc(=O)n(C)c(=O)n3C)CC1)c1ccccc1S2,"[-0.57182693  3.2246957   0.429749   ...  0.          0.
  0.        ]",[ True False False False False],[ 0.15854943  0.16247254 -0.54998667  0.16440359 -0.27508269]
CC(C)(C)C1CCC(=O)CC1,[11.806239   2.3940465  6.9705734 ...  0.         0.         0.       ],[False False False False  True],[ 0.09832602  0.58660218  0.8091028  -0.89527244 -0.46873614]
ClC1=C(Cl)C2(Cl)C(Cl)=C(Cl)C3C(Cl)C1CC32,"[  1.9906893   -0.27997363 -21.155048   ...   0.           0.
   0.        ]",[False False False False  True],[ 0.07241722  0.87830467 -0.97194991 -0.93949345 -0.30110865]
O=C(O)COc1ccc(Cl)cc1Cl,[-12.91231    4.131464 -14.836619 ...   0.         0.         0.      ],[False False False False  True],[ 0.59114415  0.73497112 -0.9674757  -0.43035822  0.09933481]
CC(C)(C)NC(=NC#N)Nc1cccnc1,[ 5.9069743 13.205721   5.3237386 ...  0.         0.         0.       ],[False False False False  True],[ 0.03342066  0.88040831  0.3323217  -0.82216187  0.15388027]
O=c1c([O-])c(-c2ccc(O)c(O)c2)oc2cc([O-])cc(O)c12,"[-12.289018    9.571913    0.6890724 ...   0.          0.
   0.       ]",[False False  True False False],[ 0.38221525 -0.85051699 -0.96661608 -0.89577016  0.31404936]
COc1ccc(-c2oc3c(CC=C(C)C)c(O)cc(O)c3c(=O)c2O[C@H]2O[C@H](C)[C@@H](O)[C@H](O)[C@@H]2O)cc1,[ -7.820429 -17.39537   10.851482 ...   0.         0.         0.      ],[ True False False False False],[-0.1871206   0.86220568 -0.87754465  0.16440359 -0.09709917]
CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O,[ 5.2621336 -0.4333825  0.9220129 ...  0.         0.         0.       ],[False False False False  True],[ 0.50016659  0.96928732 -0.94556133 -0.08627533 -0.11574279]
C=CC=CC=CCCCCC,[ 0.732522  -3.5403788  7.211966  ...  0.         0.         0.       ],[False False False False  True],[ 0.49684849 -0.13846297 -0.90857115 -0.62440119 -0.55343681]
C1CCOC1,[-7.611584 14.596361  5.904557 ...  0.        0.        0.      ],[False False False False  True],[ 0.39258248  0.97418272 -0.78166507 -0.00271569 -0.50465632]
OCC1OC(O)C(O)C(O)C1O,[ 4.7103066 -7.3161464  8.027653  ...  0.         0.         0.       ],[False False False False  True],[ 0.32648075  0.3839233  -0.97454217 -0.837277   -0.75476718]
CCOP(=S)(OCC)Oc1cc(C)n(CC)c(=O)c1,[11.557949  -3.989186  10.7184305 ...  0.         0.         0.       ],[False False False False  True],[ 0.48061426 -0.65199409 -0.44518371  0.49864216 -0.40399113]
O=C(OC1CCC(N2CCCCC2)CC1)c1ccccc1,[18.70687   -3.5622427  7.81755   ...  0.         0.         0.       ],[False False False False  True],[ 0.31101668  0.36515328 -0.75309527 -0.49225867  0.00886918]
C[NH+]1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,[-9.616981 11.917177 -2.387764 ...  0.        0.        0.      ],[False False  True False False],[-0.14761441  0.99294576 -0.60849772 -0.56010448 -0.70878317]
CC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,[-9.016266   5.5122194 -8.331611  ...  0.         0.         0.       ],[False False False False  True],[ 0.37175243  0.68365547 -0.93504652 -0.8759761   0.09889135]
COCCOC(=O)C(=Cc1cccc([N+](=O)[O-])c1)C(C)=O,[2.9762022 8.129234  4.6053333 ... 0.        0.        0.       ],[False False False False  True],[ 0.49779638  0.37157877 -0.48211297  0.33152287 -0.34501109]
COc1ccccc1C=O,"[-12.302003    6.2114906  -2.608872  ...   0.          0.
   0.       ]",[False False False False  True],[ 0.24916744 -0.3295232  -0.94286065 -0.59526644 -0.35920177]
CCN(CCO)C(=S)NP(=S)(OC)OC,"[ -4.0577397   3.922112  -18.464748  ...   0.          0.
   0.       ]",[False False False False  True],[-0.17185807 -0.18363014 -0.74701364 -0.85646375  0.73569845]
COc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1OC,"[-5.777657    1.0136304  -0.31539273 ...  0.          0.
  0.        ]",[False False False False  True],[ 0.59984764  0.99092982  0.15649661 -0.97167868 -0.1383592 ]
CN(N=O)C(C)(C)c1ccccc1,"[-15.322602    5.2010045  -0.802408  ...   0.          0.
   0.       ]",[False False False False  True],[-0.17485809  0.31767123 -0.84365171 -0.77389729 -0.27361419]
O=C(O)C1CCC(C(=O)O)C1,[10.739918  -1.0179262 10.073979  ...  0.         0.         0.       ],[False False False False  True],[-0.46374454  0.93892907 -0.48061785 -0.68618165 -0.38093126]
CCOC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1,[11.886721  -3.0595367 -8.350947  ...  0.         0.         0.       ],[False False False False  True],[ 0.50064931  1.01208466 -0.94082098 -0.80389064 -0.35166297]
C=CC1(C)CC(OC(=O)CSCCN(CC)CC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,[ 1.0375443 -5.243696  -6.577198  ...  0.         0.         0.       ],[False False False False  True],[ 0.75244856  0.88293831 -0.97904242 -0.58074819 -0.08913525]
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2N=C=O)cc1,[-5.8992395  6.5328074 -0.1158489 ...  0.         0.         0.       ],[False False False False  True],[ 0.26412505  0.37176856 -0.82335546 -0.24692588 -0.61330377]
CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,[-2.0071099  2.2016199 -8.766252  ...  0.         0.         0.       ],[ True False False False False],[ 0.49002979  0.95151655 -0.98337966 -0.97770248 -0.21328058]
CN(C(=O)CF)c1cccc2ccccc12,"[-11.625152    2.577573   -2.6942434 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.61090519  1.00065129 -0.00151745 -0.8298761   0.42793792]
ClCC(Cl)C(Cl)CCl,"[-10.940941    7.5849304  -1.1292565 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.46144451  0.93644061 -0.49148029 -0.56301784  0.17472284]
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)cc(-n3ccc(C(C)C)n3)nc2c1C,[1.075197  1.7448835 3.766241  ... 0.        0.        0.       ],[ True False False False False],[ 0.33094232  0.58672125 -0.94446051 -0.85700458  0.10067396]
CCCN(c1ccon1)P(=O)(c1ccccc1)c1ccccc1,"[-14.466318    5.7821336  -2.9977942 ...   0.          0.
   0.       ]",[False  True False False False],[ 0.10167389  0.78197932  0.82193032 -0.95282768  0.77401586]
ClCCSCCCl,"[-8.06029     0.03802264 -4.7276225  ...  0.          0.
  0.        ]",[False False False False  True],[ 0.69364859 -0.29888178 -0.77802862  0.49864216  0.63192905]
C1COCCN1,[ 1.3960202 -7.651479   6.9521103 ...  0.         0.         0.       ],[False False False False  True],[-0.14426016  0.7958806   0.90507517 -0.3219377  -0.27804878]
O=COCc1ccccc1,[-20.651962  20.526909  -8.387941 ...   0.         0.         0.      ],[False False False False  True],[ 0.26957376 -0.55475356 -0.56327455  0.74932108 -0.24745011]
CCCCCCCc1cc(C)c(O)c(C)c1,[18.93728  -3.170607 14.928494 ...  0.        0.        0.      ],[False False False False  True],[ 0.09950233  0.97670338 -0.92850418 -0.76892008 -0.1804878 ]
ClCCN(CCCl)CCCl,[ 2.2204874 -5.204172   3.8976884 ...  0.         0.         0.       ],[False False False False  True],[ 0.08634591  0.5756867  -0.18321111 -0.22028194  0.91618625]
O=C(Nc1ccccc1-c1cn2c(CN3CCNCC3)csc2n1)c1cnc2ccccc2n1,[-6.6167917 -0.8240633 -1.0237715 ...  0.         0.         0.       ],[False  True False False False],[-0.12228253  0.94446086 -0.96143461 -0.32541309 -0.00793508]
C=CCOP(OCC=C)OCC=C,"[ -9.070917   -3.3973086 -10.095825  ...   0.          0.
   0.       ]",[False False False False  True],[0.65072878 0.97626248 0.43454279 1.         0.22572062]
CCC(=O)OCCOc1ccccc1,[ 5.015657 -4.516045  3.870952 ...  0.        0.        0.      ],[False False False False  True],[ 0.34469357  0.90927866 -0.87334008 -0.08627533 -0.39955654]
Cc1ncsc1CCCl,[ 4.545531   2.162479  -7.1488924 ...  0.         0.         0.       ],[False False  True  True False],[ 0.30566771  0.36396725  1.         -0.62941299 -0.80217576]
CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,"[-0.05511332  4.200751    4.5519266  ...  0.          0.
  0.        ]",[False False False  True False],[-0.05990376  0.99230879 -0.79594033 -0.80488824  0.46110451]
COC(=O)C1=CCC23CCC(C(C)(C=CC=C(C)C(=O)O)OC2=O)C3(OC(C)=O)CC1,[ 2.338645  -3.8966112  4.631524  ...  0.         0.         0.       ],[False False False False  True],[ 0.28317175  0.99725981 -0.94074572  0.66576144  0.43281596]
COC(=O)[C@@H]1[C@H](O)CC[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@H]3C[C@H]21,"[ 2.7147663   0.94322914 11.1181345  ...  0.          0.
  0.        ]",[ True False False False False],[ 0.33577439  0.99357661 -0.92254709 -0.80334588  0.36578908]
CCOc1ccc(C(=O)COC(=O)CCC(=O)O)c2ccccc12,[ 8.576509  -4.805676   6.6830654 ...  0.         0.         0.       ],[False False False False  True],[ 0.50123055  0.88662432 -0.9303785   0.83288072 -0.25321508]
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]CC3)nc21,[ 1.6132247  9.30231   15.508543  ...  0.         0.         0.       ],[False False  True False False],[ 0.00868466  0.70745682 -0.39605463 -0.78897155  0.21412059]
C=C[Si](Cl)(Cl)CC,[-3.8488746 -0.3688588  2.465338  ...  0.         0.         0.       ],[False False False False  True],[ 0.5001245   0.91421567 -0.93992678 -0.53986259 -0.3578714 ]
CCCOP(=S)(OCCC)Oc1cnn(C)c(=O)c1OC,[  7.264918   9.452758 -10.227948 ...   0.         0.         0.      ],[False False False False  True],[ 0.58101424  0.85597519 -0.95395666 -0.20388248  0.69445676]
CN(C)c1nc(N(C)C)nc(N(C)C)n1,[-2.0170898 14.499855   0.4581871 ...  0.         0.         0.       ],[False False False False  True],[-0.83697013  0.86800511 -0.90716288 -0.22274796  0.10332594]
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,[11.562647  11.9408    -1.5968657 ...  0.         0.         0.       ],[False False  True  True False],[-0.18849184  0.95405607 -0.84825493 -0.90515981  0.86031529]
Cc1ccc(-c2cc(C(=O)NCc3cn(C)nc3C)c3cc(Br)ccc3n2)cc1,[-10.866474   1.880363  -9.707348 ...   0.         0.         0.      ],[False  True False False False],[-0.17044614  0.96573117 -0.82624701 -0.08627533 -0.71244426]
CS(=O)CC(=NO)C(C)(C)C,[ 3.7193391 -4.942905   6.064416  ...  0.         0.         0.       ],[False False False False  True],[ 0.44758369  0.73096313 -0.96884777 -0.8847472  -0.26518847]
Cc1ccccc1Oc1cccnn1,"[-12.885426     8.979641     0.17075384 ...   0.           0.
   0.        ]",[False False False False  True],[ 0.61624294  0.90417889 -0.17451218 -0.85877918 -0.33968958]
O=C(Oc1ccccc1)n1c(C(F)(F)F)nc2cc(Cl)c(Cl)cc21,[-0.6454158  1.1753538 -4.9873405 ...  0.         0.         0.       ],[False False False False  True],[ 0.00470482  0.30087073 -0.75076695 -0.81477193  0.28736142]
CC(C=O)c1ccccc1,"[ 2.3678634  -4.5823474  -0.17626953 ...  0.          0.
  0.        ]",[False False False False  True],[-0.80519622  0.91009113  0.0979129   0.41508252 -0.38359202]
CCOc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3Cl)c2cc1N1CCN(CCO)CC1,"[-1.7134466  -0.44928396 14.800708   ...  0.          0.
  0.        ]",[False  True False False False],[ 0.09190983  0.7211226  -0.72224521 -0.83632586 -0.03537748]
CC(=CC(=O)O)C1CCCCC1,[-53.24095   40.872257  17.234934 ...   0.         0.         0.      ],[False False False False  True],[-0.10561978  0.85566583 -0.88768304  0.74932108 -0.34678492]
CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,"[-26.563906   25.416698   -3.6546881 ...   0.          0.
   0.       ]",[False False False  True False],[ 0.29839933  0.38815511 -0.92715786 -0.86337999 -0.40489041]
O=c1[nH]cnc2scc(-c3cccs3)c12,[ 36.634678 -15.754606  15.847537 ...   0.         0.         0.      ],[False  True False False False],[ 0.01201715  0.93737075 -0.93970477  0.83288072 -0.6822686 ]
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCCCNC(=O)Nc2ccccc2)[C@@H](O)[C@H]1O,[ 2.2991152 -3.1833627 -5.1752787 ...  0.         0.         0.       ],[False  True False False False],[ 0.6686794  -0.09837518  0.3323217  -0.90181709 -0.16472838]
C[C@@](C(=O)O[C@H]1C[N+]2(CCOCCc3ccccc3)CCC1CC2)(c1ccccc1)N1CCCCC1,[-10.238315 -19.772142  10.008261 ...   0.         0.         0.      ],[False  True False False False],[ 0.3215844   0.85465288 -0.95083658 -0.86519106 -0.35930962]
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(OP(=O)(O)O)C(O)C2O)N(C)C1,"[-18.445148    3.9428222 -10.554154  ...   0.          0.
   0.       ]",[False False False False  True],[-0.7298741   0.6809527  -0.91494336 -0.08627533 -0.05720621]
CCN(CC)C(=O)c1cccc(C)c1,[-18.02493 -46.10879  16.43622 ...   0.        0.        0.     ],[False False False False  True],[ 0.08680944  0.76597872 -0.91792394  0.41508252 -0.24567627]
CCCCCCC(=O)OCCOCCOCCOCCOC(=O)CCCCCC,[-2.480944  -2.1331825 -1.1697342 ...  0.         0.         0.       ],[False False False False  True],[-0.03211594 -0.06204416 -0.90233562 -0.00271569 -0.58625277]
COC(=O)CCC(Cl)C(C)=O,"[-7.102277    3.0753536  -0.86127025 ...  0.          0.
  0.        ]",[False False False False  True],[ 0.23882014  0.93867862 -0.08179071 -0.35013227 -0.26873614]
Cn1cc(NC(=O)Nc2cc(C(=O)Nc3cc(C(=O)Nc4ccc5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c5c4)n(C)c3)n(C)c2)cc1C(=O)Nc1cc(C(=O)Nc2ccc3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c3c2)n(C)c1,"[-10.912255    0.8253834   1.8499804 ...   0.          0.
   0.       ]",[False False  True False False],[ 0.41036891  0.64513284 -0.92109256 -0.72110407  0.00815286]
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,"[-14.581295   13.497946    3.0522544 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.41451949  0.91094412 -0.78650587 -0.08627533 -0.15875831]
CN(C)CCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,[-6.362443 12.555708  6.71978  ...  0.        0.        0.      ],[False False False False  True],[ 0.44088023  0.67764575 -0.60928926 -0.08627533  0.68957871]
C[N+]1(C)[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1C1OC12.[Br-],[-9.263697   0.9533653 -7.938168  ...  0.         0.         0.       ],[ True False False False False],[-0.35142068  0.94276961 -0.33418079 -0.66803803 -0.6156394 ]
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],"[-12.631253    6.297435   -4.8800793 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.33428469 -0.36720827 -0.58275061  0.41508252  0.34988914]
[NH3+]C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(CSc3c[n-]nn3)CSC12)c1ccc(O)cc1,[ 7.668488  -5.669542  -1.9175408 ...  0.         0.         0.       ],[False False  True False False],[ 0.16219786  0.80268577 -0.93626707 -0.91714029  0.12527442]
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1,[ 6.482686  -7.3437147  7.48372   ...  0.         0.         0.       ],[False  True False False False],[ 0.60821564  0.97991137 -0.51958644  0.49864216 -0.11612102]
O=C(CO)NC1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1,[-4.671317   4.9251432 -1.1556454 ...  0.         0.         0.       ],[False  True False False False],[ 0.13013385  0.77666174 -0.71919566 -0.82174281 -0.29853622]
c1ccc(Cc2ccccc2)cc1,"[-11.879387    -0.09392822   9.600017   ...   0.           0.
   0.        ]",[False False False False  True],[ 0.51490106  0.48403889 -0.78813418 -0.89398883 -0.29800443]
O=C1CN=C(c2ccccc2Cl)c2cc(Br)ccc2N1,[3.9437304  0.34926367 3.0474916  ... 0.         0.         0.        ],[False False  True False False],[ 0.36207602  0.85113521  0.88770865 -0.904011   -0.24082874]
S=C1N=CC=NC(=S)SSSS1,[-12.024822   5.106268 -16.021086 ...   0.         0.         0.      ],[False False False False  True],[ 0.07613675 -0.501947   -0.79051409 -0.92624057 -0.46341463]
O=C(CN1CC1)NCCCCCCCCNC(=O)CN1CC1,[ 8.383654  -8.612234   1.8075092 ...  0.         0.         0.       ],[False False False False  True],[ 0.36791017  0.95669643 -0.90913212 -0.91616627  0.26341463]
O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,"[-17.459948   -2.5033317  -9.548306  ...   0.          0.
   0.       ]",[False False False  True  True],[ 0.38156167 -0.01580104 -0.60711336  0.16440359 -0.054102  ]
CCOC(=O)C1=CN(C)C2CCCC(C)N2C1=O,[18.447235 -3.619328 22.058891 ...  0.        0.        0.      ],[False False False False  True],[ 0.47813205  0.88813035 -0.90218564 -0.86958063  0.1232816 ]
CCCCCCCCCCCCCCSC#N,[-2.5308146  6.182744   1.6618977 ...  0.         0.         0.       ],[False False False False  True],[ 0.53327843  0.8450834  -0.70209946 -0.86922987 -0.58314856]
Nc1nc(/C(=N\O)C(=O)NC2C(=O)N3C(C(=O)[O-])=C(/C=C4\CCN(C5CC[NH2+]C5)C4=O)CSC23)ns1,"[-17.952862    -0.44532728  -7.8766623  ...   0.           0.
   0.        ]",[False False  True False False],[ 0.24884068  0.78078603 -0.92109256 -0.00271569  0.00757036]
COCCNc1nc(NCc2ccccc2F)c2sccc2n1,[ 1.5477692  0.9074712 -5.739105  ...  0.         0.         0.       ],[False  True False False False],[-0.12623401  0.83751846  0.44509341 -0.86473739  0.04245436]
C=CCBr,"[-23.216415    4.0036173  -8.508064  ...   0.          0.
   0.       ]",[False False False False  True],[ 0.17413291  0.98414417 -0.6918688  -0.22603622  0.20310421]
CC(C)C1C=C2CCC3C(C)(CO)CCCC3(C)C2CC1,[-9.782643   1.5842285  3.1058197 ...  0.         0.         0.       ],[False False False False  True],[ 0.45772351  0.56438524 -0.95657875 -0.93548915 -0.85498891]
CCC(C(=O)O)c1ccc(CC(C)C)cc1,[-7.5326114 14.954883   7.2135463 ...  0.         0.         0.       ],[False False False False  True],[ 0.24416306 -0.65199409 -0.91226431 -0.819488   -0.1804878 ]
CNC(=O)[C@@H]1Cc2cn(cn2)CC(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N1C,[-7.260243   1.4768516 -5.1471357 ...  0.         0.         0.       ],[ True False False False False],[-0.21873426  0.7765984  -0.93480211 -0.84098759 -0.16035369]
CCCC(N)(CCC)CCC,[15.70063   -2.2242665  8.435951  ...  0.         0.         0.       ],[False False False False  True],[ 0.46980196  0.74958896 -0.65705038 -0.24687287  0.23059867]
COc1cnc(-c2cccc(F)c2C(F)(F)CNC(=O)c2ccc(COCC(F)(F)F)nc2)cn1,[-8.640156   7.613521  -5.2240868 ...  0.         0.         0.       ],[False  True False False False],[-0.05038216  0.80915805 -0.79235888 -0.91788347 -0.50760529]
CCC#CCC(C)C(O)C#CC1C(O)CC2C/C(=C\COCCCC(=O)[O-])CC21,[-3.4182208 -3.50408    6.9727087 ...  0.         0.         0.       ],[False False  True False False],[ 0.16191612  0.92867643 -0.27465857 -0.17562327 -0.35148468]
O=P(O)(O)CN(CC(O)CN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,"[-51.424282   39.53109     2.7681015 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.49603452 -0.98685698 -0.97325559 -0.29167898 -0.22660754]
CC(C)CC(C)OC(=O)C=CC(=O)OC(C)CC(C)C,"[-18.153671    2.086404   -6.8861494 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.22680943  0.82466074 -0.93951506 -0.66380009 -0.4248337 ]
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,[-6.663369  11.112076  -1.9908171 ...  0.         0.         0.       ],[False  True False False  True],[ 0.5694982   0.98641064 -0.90562496 -0.61445679  0.17649667]
Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4ccc(Cl)cc4)c3)C2)c(=O)[nH]c1=O,"[ 15.730226    -0.19842434 -26.524784   ...   0.           0.
   0.        ]",[False  True False False False],[ 0.42831298  0.92082718 -0.75520428 -0.91847248 -0.1072903 ]
CNC(=O)c1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3cccc(C)c3[nH+]c12,[15.760862 -8.562746  7.546259 ...  0.        0.        0.      ],[False False  True False False],[ 0.17495297  0.05753179 -0.91198786 -0.81650756 -0.46739512]
N#Cc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,[24.852947  -6.983067   7.0661707 ...  0.         0.         0.       ],[False  True False False False],[-0.13168487  0.11078287 -0.81603382 -0.83399266 -0.11478625]
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,[-7.9576416  7.058241  -1.2115521 ...  0.         0.         0.       ],[False False False False  True],[-0.605401   -0.93973412 -0.9596391  -0.91126379 -0.26341463]
CCC(Cl)(CC)C(=O)OCC(Cl)(Cl)Cl,"[  0.67534995  18.593822   -22.210125   ...   0.           0.
   0.        ]",[False False False False  True],[ 0.08355771  0.98326886 -0.94254826 -0.68940435 -0.17605322]
CCCCOC(=O)CC(C(=O)OCCCC)P(=O)(OCCCC)OCCCC,[-4.5496063 -5.0706778 -8.537586  ...  0.         0.         0.       ],[False False False False  True],[ 0.40423736  0.98261009 -0.5103313  -0.44148882 -0.58447894]
O=C(C1CCN(c2nnc(-n3cccc3)s2)CC1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,"[20.407808   -4.049163    0.61785614 ...  0.          0.
  0.        ]",[False  True False False False],[-0.01149526  0.73884786 -0.97044818 -0.89838488 -0.28315683]
Nc1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,"[-8.477248   -0.90744114  1.7462015  ...  0.          0.
  0.        ]",[False False False False  True],[-0.15770051  0.73814552 -0.95890281 -0.84833903 -0.48603104]
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,[ 6.8074856 -8.878061  10.329259  ...  0.         0.         0.       ],[False False False False  True],[ 0.25450688 -0.93973412 -0.70148543 -0.3758239  -0.45321508]
CC(C)OC(=O)Nc1cccc(Cl)c1,[-6.293997   3.953333   1.5530035 ...  0.         0.         0.       ],[False False False False  True],[ 0.41136307  0.19166631 -0.9499893  -0.25238282 -0.1308204 ]
Cc1cnccc1N,"[-3.8182607   5.126974   -0.61261845 ...  0.          0.
  0.        ]",[False False False False  True],[ 0.24041196  0.95231256 -0.84066436 -0.84302808 -0.0713969 ]
Cc1cc(C)c(S(=O)(=O)NCc2ccncc2)c(C)c1,[-25.503746  24.625648  32.372856 ...   0.         0.         0.      ],[False  True False False False],[-0.16847135  0.17872969 -0.56081265 -0.52147676  0.70445062]
OCC1OC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)ncnc32)C(O)C1O,[4.7148395 3.1200175 0.5362625 ... 0.        0.        0.       ],[False False False False  True],[ 0.284273    1.00717541  0.9174784  -0.00271569  0.3924612 ]
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,[13.09028  -5.1806   12.737926 ...  0.        0.        0.      ],[False  True  True  True  True],[ 0.28660259  0.89955687 -0.66919575 -0.74639649 -0.10509978]
CCOC(=O)CC(=O)NP(=O)(OC)SC,[29.546509 -8.1998   11.549399 ...  0.        0.        0.      ],[False False False False  True],[ 0.49810991  0.6182612   0.77722594 -0.91734497  0.33880266]
CN(N=O)C(=N)N[N+](=O)[O-],"[-19.504173   18.85272     3.3858678 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.25304503  0.69991712 -0.49356436 -0.93911086  0.29578714]
CCCCCOC(C)=O,[-2.0726914  5.96042    2.1727664 ...  0.         0.         0.       ],[False False False False  True],[ 0.19967071  0.00342702 -0.88667092 -0.24827919 -0.55166297]
Oc1ccccc1Cl,[-9.417162  -2.9949703 -5.764912  ...  0.         0.         0.       ],[False False False False  True],[-0.26332665  0.69919321 -0.24430956 -0.22442937  0.42616408]
COc1cc(O)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CCC(=O)O,[-3.1644385  1.0154428 10.106442  ...  0.         0.         0.       ],[False  True False False False],[-0.1570971   0.74475628 -0.79725777 -0.34850334 -0.29651359]
O=C(NCCc1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,"[-4.128462    5.241529   -0.37504953 ...  0.          0.
  0.        ]",[False  True False False False],[ 0.48004936  0.85465288 -0.82653319 -0.81380065 -0.46055437]
