Drug,Caco2_Wang,PPBR_AZ,VDss_Lombardo,Half_Life_Obach,LD50_Zhu
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,,,,,1.99
CCCCOCCC#N,,,,,1.232
CO[N+](=O)[O-],,,,,2.35
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,,56.3,,4.6,
N#CCC#N,,,,,3.674
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,,89.27,,,
COC1C(C)OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C1O,,,,,3.839
CCOP(=S)(Oc1cccc2cccnc12)c1ccccc1,,,,,3.342
O=[N+]([O-])c1ccc(Oc2ccc(C(F)(F)F)cc2[N+](=O)[O-])cc1,,,,,1.5619999999999998
C1CC(C2CO2)OCC1C1CO1,,,,,2.009
C=COCCSCC,,,,,1.429
CCC(C)OCCO,,,,,2.175
c1ccc2c(c1)Cc1ccccc1N2,,,,,1.928
N#CCN(CC#N)N=O,,,,,2.8819999999999997
OCc1ccccc1,,,,,1.944
CC(CN1C(=O)N(CC2CO2)C(C)(C)C1=O)OCC1CO1,,,,,2.219
Nc1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)cc2c1,,,,,2.181
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,,,,,3.97
Cc1[nH]c(C(=O)NC2CCN(c3ncc(C(=O)O)s3)CC2)c(Cl)c1Cl,,97.07,,,
Nc1c2c(nc3ccccc13)CCCC2,,53.45,,3.3,3.452
CC1CN(CCO)CC1C,,,,,2.066
COP(C)(=O)OC,,,,,1.179
CCCCOC(C)OCCCC,,,,,1.297
CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,,,0.15,,
Cc1nnc(C(C)C)n1C1CC2CCC(C1)[NH+]2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,,,2.3,,
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,,,,,1.481
CCN(C(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(-c2cnco2)cc1)C1CCCCC1,,98.7,,,
Cc1ccc2ncccc2c1,,,,,2.056
S=c1[nH]c2cc(Cl)ccc2o1,,,,,2.269
CCOC(C1=NCC(C)(C)N1)c1ccccc1,,,,,2.659
O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,,,,4.3,2.286
O=CNc1cc([C@@H](O)CNCCc2ccc(NC[C@H](O)c3ccccc3)cc2)ccc1O,,71.53,,,
Cc1nc(C(F)F)c(C(N)=O)nc1-c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1,,94.56,,,
C=CCOc1ccc(C2c3ccc(OC)cc3OC(C)(C)C2c2ccccc2)cc1,,,,,2.904
CC(C)=CCCC(C)=CC=O,,,,,1.487
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,,,,1.8,
N#Cc1cccc(C#N)c1,,,,,2.173
Cc1[nH]c(=O)n(C(C)C)c(=O)c1Br,,,,,1.861
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,,,,,3.443
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,,,,,1.524
COC(=O)c1ccco1,,,,,2.6239999999999997
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,-4.1100001000000015,,,,
CCOP(=S)(CC)Oc1cnn(C)c(=O)c1OC,,,,,5.086
Cn1c(NCCCN2CCC(CN3c4ccccc4Sc4ccc(C(=O)O)cc43)CC2)cc(=O)n(C)c1=O,-5.8989701,,,,
CN1C(=O)CC(N2CCN(CC/C=C3/c4ccccc4COc4ccc(CC(=O)O)cc43)CC2)N(C)C1=O,-5.1399999,,,,
COc1ccc2c(c1)[C@@]13CCCC[C@@H]1[C@@H](C2)N(C)CC3,-4.628932,,,,
CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3s2)cc1,,,,,2.62
Ic1nc(I)c(I)[nH]1,,,,,3.205
Cc1c(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)c(C)c(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)c(C)c1Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,,,,,2.713
Cc1ccc2[nH]c(C(F)(F)F)nc2c1,,,,,3.502
Cc1ccccc1S(=O)(=O)NC(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,89.49,,,
CCC(C)(C)OO,,,,,2.081
CNC(=O)ON=CC(C)(C)SC,,,,,5.466
COCCC(=O)NC(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,,98.61,,,
COc1ccc(N)cc1,,,,,1.944
Cc1ccc(-n2ccnc2)cc1C(O)c1c(C)cc(C(=O)[O-])cc1C,,,0.37,,
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1Br,,,,,2.13
CCOc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3Cl)c2cc1N1CCN(CCOC)CC1,,98.29,,,
CNC(=O)N(C)c1nnc(C(F)(F)F)s1,,,,,2.937
CCCCNC1(P(=O)(OCCCC)OCCCC)CCCCC1,,,,,2.064
C[NH+]1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,,,1.71,,
COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,-6.9204097,,,,
c1cc(CC2CO2)cc(CC2CO2)c1,,,,,1.6569999999999998
Fc1cccc2c1O[C@H]1CNC[C@@H]1O2,-4.0999998999999985,,,,
C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.3000002,,,,
C=CC(=C)Cl,,,,,2.294
[O-][n+]1onc2c1c1no[n+]([O-])c1c1no[n+]([O-])c21,,,,,1.942
CCCCCCCCCCc1ccccc1S(=O)(=O)O,,,,,2.109
COc1cccc(OC)c1OCCNCC1COc2ccccc2O1,,97.6,,,
C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CC[NH+]3CC2CC2)C1O5,,,8.2,,
CN(C)CCN1CCN(c2cc(C(=O)NC[C@H]3CC[C@H](CNC(=O)OC(C)(C)C)CC3)c3ccccc3n2)CC1,,93.94,,,
CCCCCCCCCC(=O)O,-4.6799998,,,,
O=C1NC(CCCl)Oc2ccccc21,,,,,1.3259999999999998
CCOc1ccc(N2C(=O)C=CC2=O)cc1,,,,,2.5380000000000003
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc2ccc(C(F)(F)F)cc2)n3C)ccn1,,99.5,,,
CCCCCCC(C)N,,,,,3.0069999999999997
O=C1CNC(=S)N1,,,,,2.4419999999999997
Cc1c[nH+]c(NCCC[NH+](C)C)c2c1[nH]c1ccc3cc(O)ccc3c12,,,11.0,,
CCCOc1ccc(C=CC(=S)OCC)cc1OC,,,,,2.443
CC[NH+](CC)CCN1C(=O)c2c(c3c4cccc(Cl)c4n(C4OC(CO)C(OC)C(O)C4O)c3c3[nH]c4c(Cl)cccc4c23)C1=O,,,8.9,,
O=C(O)CS(=O)(=O)O,,,,,1.6469999999999998
CC(=O)CC1OCC(CCl)O1,,,,,3.173
CCCSP(=O)(OCC)Oc1ccc(Sc2ccc(Cl)cc2)cc1,,,,,2.766
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,,,,,1.435
C=COCC(CC)CCCC,,,,,2.064
CCCNC(=O)OCC(O)C1COc2ccccc2O1,,,,,2.273
CCCCCCCCCCCCSC#N,,,,,2.26
COc1cc2c(ccc(=O)n2CCN2CCC(NCc3cc4c(cn3)OCCO4)CC2)cn1,,83.37,,,
COc1cc(N)c(Cl)cc1C(=O)NC1CCNCC1,,,,,2.046
Cc1ccc2oc(=O)ccc2c1,,,,,1.979
CC1NCCOC1c1ccccc1,,,,,2.68
CN1C(=O)CN2CCc3ccccc3C2c2cc(Cl)ccc21,,,,,2.2569999999999997
CNC(=O)C(c1ccccc1)N1CCc2cc(OC)c(OC)cc2C1CCc1ccc(C(F)(F)F)cc1,,,9.75,,
Nc1nc2ccc(-c3ccncc3)cc2s1,,88.11,,,
CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,,,7.33,,
CCOC(=O)C=CC(=O)OCC,,,,,1.986
Clc1cc2c(cc1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2,,,,,6.2379999999999995
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1c[nH]c3ccccc13)C2,,,,5.6,
CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O,,92.32,,,
Cn1cc(-c2ccncc2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)n1,,99.88,,,
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,,,,,3.1830000000000003
COc1ccc(OC)c(CNC(=O)c2cccnc2Oc2ccccc2)c1,,99.8,,,
Cc1cc(O)cc(O)c1,,,,,2.168
Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,,,1.75,,
N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,,,,11.0,
COc1ccc(N)c(S(=O)(=O)O)c1,,,,,1.308
COc1c(Cl)ccc(Cl)c1C(=O)O,,,,,2.3280000000000003
CC(Cl)CCl,,,,,1.764
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CC[NH2+]CC3)s2)o1,,,5.14,,
OCC1COC(c2ccccc2)O1,,,,,1.757
NCCNCCNCCO,,,,,1.5019999999999998
CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,,,1.6,4.9,
C=CCn1c(=O)c2[nH]c(C)nc2n(CC(C)C)c1=O,,,,,4.188
CO[Si](CCCOCC1CO1)(OC)OC,,,,,1.012
CCC(C)Cl,,,,,0.7240000000000001
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,-5.1500001,,,26.0,
CC1CCC(C(C)C)C(O)C1,,,,,1.6909999999999998
COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N3CCOCC3)c2F)n[nH]1,,74.69,,,
C=CCOC1=NS(=O)(=O)c2ccccc21,,,,,2.041
CCO[Si](CCS)(OCC)OCC,,,,,1.836
CCOC(=O)CC(=O)CCl,,,,,2.915
O=C(Nc1ccc(OC(F)(F)F)cc1)c1ccnn1CCc1ccncc1,-5.1515226,,,,
C=CCOP(OCC=C)OCC=C,,,,,3.055
OCCI,,,,,3.536
CC1(C)C(C(=O)[O-])N2C(=O)CC2S1(=O)=O,,,0.32,,
CC(SCC(=O)O)c1ccc2c(c1)Cc1ccccc1-2,,,,,2.174
CC(C)CCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC(C)C,,,,,1.318
CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,,,2.4,,
C=CCN(C(=O)Cn1nc(C)ccc1=O)C(C)Cc1ccccc1,,,,,2.279
c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,,,,7.3,
CCCCCC=CCC=CCCCCCCCC(=O)N(CCO)CCO,,,,,1.5319999999999998
CC(C)(CO)S(C)(=O)=O,,,,,1.129
CCCCCc1ccc(C)cc1O,,,,,2.075
CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,,,1.0,,
O=C1c2ccccc2S(=O)(=O)N1CCCC[NH2+]CC1CCc2ccccc2O1,,,0.21,,
O=C(Cc1ccc(OCc2ccccc2)cc1)NO,,93.67,,,
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,-6.2800002,,3.6,,
O=CNC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,,,,,2.678
O=C(O)c1cn(C2CC2)c2cc(Cl)c(F)cc2c1=O,,,,,2.6839999999999997
CCOc1cc2nnc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1,,96.17,,,
Oc1ncnc2scc(-c3ccccc3)c12,,86.32,,,
NC1=NC(c2ccc(F)cc2)Cc2ccccc21,,64.01,,,
CC(O)c1cccc(N)c1,,,,,1.646
CCCCC(C=CC(C)=O)CC,,,,,1.3159999999999998
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,,84.0,,8.5,
NS(=O)(=O)c1ccc(Cl)cc1,-4.2620125,,,,
O=C(c1ccc2ccccc2n1)N1CCN=C1Nc1c(Cl)cccc1Cl,,,,,3.942
CC(C)=CCCC(C)=CCO,,,,,1.535
CN(CCO)CCO,,,,,1.3969999999999998
COc1c(Cl)c(Cl)c([N+](=O)[O-])c(Cl)c1Cl,,,,,3.049
CC(=O)OCC#N,,,,,3.491
O=C(CCCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)N1CCCC1,-5.0599999,,,,
C=CC(=O)OCCN(CC)CC,,,,,2.347
C(CCC1CO1)CC1CO1,,,,,2.124
O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(Br)cc54)CC3)nc2N1,,97.38,,,
CCC1=CSC(S)N1,,,,,3.624
C=CCc1ccccc1OCC(CNC(C)C)OC(=O)C1CC1,-4.1507826,,,,
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,,,,,4.354
N#Cc1ccc2ccc(=O)n(CCN3CC[C@@H](NCc4cc5c(cn4)OCCO5)[C@@H](O)C3)c2c1,,79.17,,,
CCOP(=O)(OCC)SCCN(CC)CC,,,,,4.912
CCP(=S)(OC)Sc1ccc(C(C)(C)C)cc1,,,,,3.205
COc1cc(C=CC(=S)N(C)C)cc(OC)c1OC,,,,,3.701
Cc1c(Sc2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,,98.96,,,
C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1N,,,,,1.808
COC(C)CC=O,,,,,2.2769999999999997
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1C1=COCCO1,,,,,2.189
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,,,1.73,,
CCOc1ccc(C2(c3ccc(OCC)cc3)CC2(Cl)Cl)cc1,,,,,2.668
COc1ccc(-c2nc3c(OCC4CCNCC4)c(Br)cnc3[nH]2)cc1,,86.59,,,
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,,,,,1.106
OC1OCC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,,,,,2.312
CC(C)n1nc(-c2cccc(Cl)c2Cl)c(=N)nc1N,,,,,3.115
CCN(CC)C(=O)c1ccccc1C,,,,,2.199
OCCN1CN(CCO)CN(CCO)C1,,,,,2.458
OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,,,12.0,,
O=C(Nc1ccccc1)c1ccccc1I,,,,,1.703
O=CC=O,,,,,1.722
O=C([O-])C(O)C(O)C(=O)[O-],,,,,1.494
C=CC(C)(O)CC,,,,,2.156
C=CC(=O)OOCCOC,,,,,2.242
CC1(C)CC(NCCCCCCNC2CC(C)(C)NC(C)(C)C2)CC(C)(C)N1,,,,,2.6519999999999997
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,,,,,4.641
Clc1nc(Cl)c(Cl)c(Cl)c1Cl,,,,,2.762
Cc1ccccc1N(CCO)CCO,,,,,1.948
COCCOCCOCCOCCOC,,,,,1.636
COc1cc(C)c(S(=O)(=O)N(C)CCOCC(=O)N2CCC(C3CCN(C)CC3)CC2)c(C)c1,,51.73,,,
CCCCC(CC)COP(OCC(CC)CCCC)OCC(CC)CCCC,,,,,1.592
Cc1ccccc1CN(C)N=O,,,,,3.261
CC1(C)SC2C(NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2C1C(=O)[O-],,,0.17,,
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,,,,10.0,
CNC(=O)Oc1ccccc1OC(C)C,,,,,3.4760000000000004
CCCCBr,,,,,1.696
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,-5.0778604000000005,,,,
Nc1ccc(Cl)c([N+](=O)[O-])c1,,,,,2.635
COc1ccc(Nc2ccc(OC)cc2)cc1,,,,,1.968
CCOC(=O)C(C)C[Si](C)(OCC)OCC,,,,,1.004
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,-6.0700002,,,,
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,,,0.95,,
NC(Cc1ccc(O)c(C(=O)O)c1)C(=O)O,,,,,1.654
O=C(CC12CC3CC(CC(C3)C1)C2)Nc1cccc2nc(NCCNCCO)ccc12,,95.43,,,
C[C@H](Nc1ncc(F)c(Nc2cc(N(C)C)[nH]n2)n1)c1ncc(F)cn1,,78.01,,,
Cc1cccnc1-n1c(C)nc2ccccc2c1=O,,,,,2.804
C=C(F)CCl,,,,,2.528
CCC1NC(=O)C(NC(=O)c2ncccc2[O-])C(C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)C(CSC3C[NH+]4CCC3CC4)CN2C(=O)C(Cc2ccc(N(C)C)cc2)N(C)C(=O)C2CCCN2C1=O,,,0.67,,
c1ccc2c(NCCCN3CCOCC3)n[nH]c2c1,,,,,2.456
CCOCCC(OCC)OCC,,,,,2.042
CN1CCN(Cc2ccc(C(c3nnnn3Cc3ccccc3)N3CCCN(C4CCC4)CC3)cc2)CC1,-6.0999999,,,,
C=CSC=C,,,,,2.705
CCCCS(=O)(=O)NC1CCCCC1,,,,,1.891
CCSC(=O)N1CCCCCC1,,,,,2.7060000000000004
CCN(CC)Cc1cc(-c2ccccc2)ccc1O,,,,,3.96
COc1cc2nnc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1OC,,95.53,,,
CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,,,0.38,,
Nc1nc(O)c(Cl)c(-c2ccccc2)n1,,95.23,,,
Cc1ccc2nc3c4cccc5cccc(c(=O)n3c2c1)c54,,,,,1.477
O=S1(=O)CCC(Br)C1,,,,,2.967
Clc1nc2ccccc2nc1Cl,,,,,3.009
NC(=S)Nc1cc(Cl)ccc1Cl,,,,,2.867
CCCCOP(=O)(SCC)SCc1ccccc1,,,,,2.544
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,,,,17.0,
CCN(CC)c1cc(C)nc2ncnn12,,,,,2.9410000000000003
CCOCC(Cl)C(OCC)OCC,,,,,2.2030000000000003
CCCCC(CC)C(O)C(=O)O,,,,,1.71
O=S1(=O)CC(O)C(N2CCC(c3ccccc3)CC2)C1,,43.14,,,
CN(Sc1ccc(F)cc1)C(=O)Oc1cccc2c1OC(C)(C)C2,,,,,4.143
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,-5.6999998,,,1.4,
COC(=S)SSC(Cl)(Cl)Cl,,,,,2.2230000000000003
CC(=O)Nc1cccc(Nc2nc(NC3CC3)n3ncc(C#N)c3n2)c1,,89.27,,,
CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,-4.7399998,,,,
CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CC(c2ccccc2)c2ccccc2)C1)C1CCCCC1,,97.38,,,
CC=C1CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23,,,,,2.037
O=C(Cc1c[nH]c2ccccc12)NN1C(=O)CSC1=S,,,,,2.849
ClC(Cl)(Cl)c1cccc(C(Cl)(Cl)Cl)c1,,,,,2.029
Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2-c2ccccc2)cc1,,98.89,,,
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O,,,,0.96,
NC(=O)ON=C1CSCCS1,,,,,3.568
CC(O)C1CC=CCC1,,,,,1.952
CCCC(c1ccc(CCCl)cc1)c1c(O)c2ccccc2oc1=O,,,,,4.297
FCCBr,,,,,4.405
C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,-5.1500001,,,,
CC(=O)O,,,,,1.259
CN(C)C(=S)N(C)C,,,,,2.158
CCCCC(C)CC(O)C=CC1C(O)CC(=O)C1CC(=O)CCCCC(=O)OC,,,,,3.97
CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,,,,,3.3110000000000004
CCCOC(N)=O,,,,,1.74
CN1CCN(c2ccc3ncc(C(N)=O)c(Nc4ccc(F)cc4F)c3c2)CC1,,74.25,,,
CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,,,,,1.668
Clc1ccc2ncc(-c3cccc(NC4CNC4)n3)n2c1,,83.68,,,
CCOP(=S)(Oc1c(OC)cnn(C)c1=O)OC(C)C,,,,,4.11
CCCCCNC(=O)c1coc(C2C3CCC(O3)C2Cc2ccccc2CCC(=O)[O-])n1,,,4.4,,
CC(C)CO,,,,,1.479
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)n1,,,,,2.958
COC(=O)/C=C/C(=O)O,,86.05,,,
C[SiH](Cl)Cl,,,,,1.5659999999999998
CC(Oc1ccc(Oc2cnc3ccc(Cl)cc3n2)cc1)C(=O)[O-],,,0.19,,
c1coc(COCc2ccco2)c1,,,,,2.929
CC(C)C(NC(=O)c1ccccc1)C(=O)c1ccc([N+](=O)[O-])cc1,,95.82,,,
O=S(=O)(Oc1ccc(Cl)cc1)c1ccccc1,,,,,2.299
C=COCCCl,,,,,2.63
CCCC(C)CO,,,,,1.86
COc1cc2c(cc1OC)[C@]13CC[N+]4([O-])CC5=CCO[C@@H]6CC(=O)N2[C@@H]1[C@@H]6[C@@H]5C[C@H]34,-5.46,,,,
NC(=O)c1csc(C2OC(CO)C(O)C2O)n1,,,1.1,,
N#CC1OC1C#N,,,,,2.576
CC(=O)Oc1ccccc1C(=O)O,,,,0.26,2.955
Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,,,0.12,,
C[NH+]1CCC23CCCCC2C1Cc1ccc(O)cc13,,,11.5,,
CC(C)=CC(NC(=O)C1=C([O-])c2sc(Cl)cc2S(=O)(=O)N1C)[n+]1ccccc1,,,,,4.643
CNC(=O)ON=C1SCOC1(C)C,,,,,5.0089999999999995
Cc1cn(C2CCCN(Cc3cccc(Oc4ccccc4)c3)C2)c(=O)[nH]c1=O,,98.89,,,
CCCCOC(=O)C(Cl)(Cl)Oc1ccccc1,,,,,2.267
CCCCCCc1ccc(C)cc1O,,,,,1.922
O=C(Cl)c1cc(Cl)cc(Cl)c1,,,,,2.421
ON1C=CC=C(c2cc3nccc(-c4ccc(OC(F)F)c(OCC5CC5)c4)n3n2)C1,-4.71,,,,
CCCCC(CC)CNCC(C)(N)CNCC(CC)CCCC,,,,,2.612
CCCCCOC(CBr)c1ccc(C2CCCCC2)cc1,,,,,3.15
CCOP(=S)(OCC)SCn1nc(Br)ccc1=O,,,,,4.095
NCCCCCCNCCCCCCN,,,,,2.68
CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2C1C(=O)O,,,,,2.393
COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O,,,,,4.071000000000001
OCCN1CCNCC1,,,,,1.423
O=C(C=CC(=O)OCCCl)OCCCl,,,,,3.531
CCCCN1C(=O)C2C3C=C(C(O)(c4ccccc4)c4ccccn4)C(C3=C(c3ccccc3)c3ccccn3)C2C1=O,,,,,4.8
O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1,,,,,1.042
CC(C)COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2)cc1,,,,,2.6830000000000003
O=C=NCCCCCCN=C=O,,,,,2.358
CN(C)C(=O)Nc1ccc(Cl)cc1,,,,,2.276
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,,,,,2.594
CC(O)(C(=O)Nc1cccc(S(=O)(=O)c2ccccc2)c1)C(F)(F)F,,90.91,,,
CON=C(C)C(=NOC(=O)N(C)Sc1ccc(C(C)(C)C)cc1)C(=O)N(C)C,,,,,4.1339999999999995
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3ccnc4ccccc34)sc21,,64.54,,,
CCOC(=O)N1CC=Cc2ccccc21,,,,,3.018
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)C(=O)C1=O,,,0.17,,
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,,,,11.0,
COc1cc2nnc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1OC,,96.72,,,
CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl,,,,,2.5869999999999997
C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,,,,,2.397
COc1ccc(C)cc1N,,,,,1.976
c1csc([C@]23CNC[C@H]2C3)c1,-4.7544875,,,,
COP(C)(=S)Sc1ccccc1,,,,,3.1630000000000003
O=C(O)P(=O)(O)O,,,,4.7,
Cc1cc2nc(C(F)(F)F)[nH]c2cc1C,,,,,3.467
CCOC(=O)CCN1CC(=O)N(C)c2ccc(NCc3ccc(C(=N)N)cc3)cc2C1=O,-6.8519359,,,,
